name,submap,latitude,longitude,values,date
Noatak NPres,AK,68.13616423611543,-159.90742667374997,0.0,0
Gates of the Arctic NP&NPres,AK,67.77682891323641,-153.3464765936084,0.0,0
Kobuk Valley NP,AK,67.50787793168357,-159.2262922854816,0.0,0
Cape Krusenstern NM,AK,67.4183859376136,-163.50522929245065,0.0,0
Bering Land Bridge NPres,AK,65.92605952779475,-164.4379373085557,0.0,0
Yukon-Charley Rivers NPres,AK,64.97181265699774,-143.29073746461393,0.0,0
Denali NP,AK,63.375583084865454,-150.79830005732927,0.0,0
Wrangell-St Elias NP&NPres,AK,61.28282201506475,-142.89384237349654,0.0,0
Lake Clark NP&NPres,AK,60.63425499319311,-153.30417522882277,0.0,0
Kenai Fjords NP,AK,59.92939159731911,-150.1625651423825,0.0,0
Alagnak WR,AK,59.01456500425202,-156.1182597702813,0.0,0
Glacier Bay NP&NPres,AK,58.78610208354336,-136.96688312340547,0.0,0
Katmai NP NPres,AK,58.60538199068286,-154.95996264582317,0.0,0
Sitka NHP,AK,57.0484537507505,-135.31593885480393,0.0,0
Aniakchak NM,AK,56.87131058339476,-157.81457868950744,0.0,0
Ross Lake NRA,WA,48.78598588154543,-121.0655084524056,0.0,20210711
North Cascades NP,WA,48.77288985155399,-121.2982356957661,0.0,20210711
Glacier NP,MT,48.767670574002615,-113.79035554101056,0.0,0
Pacific Crest NST,WA,48.59190794132488,-120.40481643171697,0.0,20210711
San Juan Island NHP,WA,48.58700119684524,-123.1508277173961,0.0,0
Voyageurs NP,MI,48.49728276771524,-92.84936472456582,0.0,0
Lake Chelan NRA,WA,48.35732506638798,-120.68541344959507,0.0,20210711
Ebey's Landing NHR,AK,48.25204188909066,-122.70740633078576,0.0,0
Lake Roosevelt NRA,WA,48.13990339563261,-118.2467678028598,0.0,20210712
Isle Royale NP,MI,48.01998232693837,-88.92532268983268,0.0,0
Fort Union Trading Post NHS,MT,47.9997424311338,-104.04079262539726,0.0,0
Grand Portage NM,MN,47.962664732287415,-89.68488297854043,0.0,0
Olympic NP,WA,47.9053581885139,-123.62750862508366,0.0,20210722
Klondike Gold Rush NHP,AK,47.60009333380397,-122.33202598285006,0.0,20210725
Knife River Indian Villages NHS,ND,47.331976980987655,-101.38582127874557,0.0,0
Keweenaw NHP,MI,47.2425634651683,-88.44820924424964,0.0,0
Theodore Roosevelt NP,ND,47.00318541794516,-103.54218625534534,0.0,0
Mount Rainier NP,WA,46.93986442863277,-121.69411663177956,0.0,20210718
Apostle Islands NL,WI,46.934026798394434,-90.6336231821812,0.0,0
Pictured Rocks NL,MI,46.56890589447937,-86.3186316831853,0.0,0
Nez Perce NHP,ID,46.448003369241896,-116.8224485226628,0.0,20210713
Grant-Kohrs Ranch NHS,MT,46.40646959119883,-112.73667594382268,0.0,0
Lewis and Clark NHP,OR,46.13512571830944,-123.88036470703705,0.0,20210717
Whitman Mission NHS,WA,46.04190068027914,-118.46409764107824,0.0,20210714
Saint Croix NSR,WI,46.0283998254678,-92.01263619919912,0.0,0
Katahdin Woods and Waters NM,ME,45.957323311485936,-68.71228711465142,0.0,20160923
Big Hole NB,MT,45.64207525059023,-113.64334300273688,0.0,0
Fort Vancouver NHS,WA,45.62740301316505,-122.65635633672818,0.0,20210717
Little Bighorn Battlefield NM,MT,45.57104344062376,-107.42729947968674,0.0,20181119
Sleeping Bear Dunes NL,Michel,45.14585925852495,-86.01338971755784,0.0,0
Saint Croix Island IHS,ME,45.1289381530093,-67.13366902423219,0.0,0
Bighorn Canyon NRA,WY,45.05400361760166,-108.2468116180786,0.0,0
Mississippi NRRA,MN,44.93248981316008,-93.1127375670338,0.0,0
Oregon NHT,OR,44.81522589060173,-117.72851362621648,0.0,20210716
Yellowstone NP,WY,44.68939377098025,-110.580043488868,0.0,20150522
John Day Fossil Beds NM,OR,44.63507917821037,-120.23907420195054,0.0,20210715
Devils Tower NM,SD,44.59162902874186,-104.7147063824598,0.0,20181120
Acadia NP,ME,44.37087724,-68.26382357,0.0,20160924
Ice Age NST,WI,44.27889547129056,-89.23800226102513,0.0,0
John D RockeFeller Jr Memorial PKWY,WY,44.08341550808631,-110.6819280712523,0.0,20150524
Pipestone NM,MI,44.01364346667158,-96.32518984559222,0.0,20181009
Badlands NP,SD,43.9633978652416,-102.35460391660422,0.0,20181120
Grand Teton NP,WY,43.88659728339675,-110.7336343759602,0.0,20150524
Mount Rushmore NMem,SD,43.88083333255275,-103.45376111587704,0.0,20181122
Minuteman Missle NHS,SD,43.845107913434965,-101.9008554641582,0.0,20181121
Jewel Cave NM,SD,43.73143282159258,-103.8298744839508,0.0,20181123
Marsh-Billings-RockeFeller NHP,VT,43.6318840646177,-72.51786263425744,0.0,20160922
Wind Cave NP,SD,43.59423782070069,-103.44191816180312,0.0,20181123
Saint-Gaudens NHS,NH,43.50072629535456,-72.36877778476047,0.0,20160922
Champlain Valley NHA,NY,43.41938510225973,-73.71071675286218,0.0,20160921
North Country NST,NY,43.28823364780196,-75.4153150918137,0.0,20160920
Fort Stanwix NM,NY,43.21126520783368,-75.45548804019012,0.0,20160920
Craters of the Moon NM&NPres,ID,43.17218731231748,-113.48208066696924,0.0,0
Effigy Mounds NM,OH,43.08905487821399,-91.18558409180582,0.0,20181008
Crater Lake NP,ID,42.97334262859125,-122.12633200529336,0.0,20190702
Harriet Tubman NHP,NY,42.92374113694391,-76.5760364124097,0.0,20160919
Womens Rights NHP,NY,42.91126499530107,-76.80002459166455,0.0,20160919
Theodore Roosevelt Inaugural NHS,NY,42.9016643587231,-78.8725290368659,0.0,0
Missouri NRR,SD,42.86973768084819,-97.38494200942009,0.0,20181009
