,name,designation,latitude,longitude,values,date
0,Schloss Glücksburg,SH,54.83226050475118,9.543389307126942,0.0,20220805
1,Nationalpark Jasmund,MV,54.551938324067685,13.647389577509045,0.0,0
2,Schloss Gottorf,SH,54.51180723120294,9.540365320681607,0.0,20220522
3,Jagdschloss Granitz,MV,54.38082279095603,13.62740435823322,0.0,0
4,Heligoland,SH,54.1848599207209,7.910414848490686,0.0,0
5,Schloss Plön,SH,54.157388351237394,10.413893059429528,0.0,20220402
6,Stralsund,MV,54.30799201352731,13.07518591363746,0.0,0
7,Rostock,MV,54.09219011443997,12.098179552985101,0.0,20220806
8,Griefswald,MV,54.08667392394364,13.393001142424561,0.0,0
9,Museum Holstentor,SH,53.86631827600449,10.67965172873409,0.0,20210902
10,Schloss Bothmer,MV,53.9594416588788,11.159486395361224,0.0,20220611
11,Wismar,MV,53.88799838471366,11.461938895475287,0.0,20220611
12,Schloss Güstrow,MV,53.791023625766286,12.176948610107752,0.0,20220806
13,Schloss Ahrensburg,SH,53.68027032864391,10.240370850666057,0.0,20220328
14,Naturschutzgebiet Leyhörn,NI,53.51534733666561,7.058578581815411,0.0,0
15,Schlossmuseum Jever,NI,53.57238363684893,7.902930306896357,0.0,0
16,Bremerhaven,NI,53.539715292918316,8.580679951271494,0.0,20221022
17,Burg Stargard,MV,53.49645583095203,13.315176357142475,0.0,0
18,Plau am See,MV,53.45921934152081,12.261470949154244,0.0,0
19,Müritz-Nationalpark,MV,53.46006954052018,12.830596844142264,0.0,0
20,Lüneburg,NI,53.24817780209591,10.415697695741414,0.0,20220618
21,Schloss Ludwigslust,MV,53.32502838599466,11.488361742187172,0.0,20220812
22,Oldenburg,NI,53.1434498347137,8.214471744592352,0.0,0
23,Lüneburger Heide,NI,53.16631420642485,9.918862572405716,0.0,20230826
24,Bad Bevensen,NI,53.07886261171256,10.578089757087147,0.0,20220415
25,Schloss Rheinsberg,BB,53.09863643203373,12.889881266929423,0.0,0
26,Schiffshebewerk Niederfinow und Kloster Chorin,BB,52.849672655669714,13.941371623825896,0.0,0
27,Schloss Clemenswerth,NI,52.83845379160124,7.537159781388012,0.0,0
28,KZ Sachsenhausen,BB,52.55694192320384,13.136475744107408,0.0,0
29,Schloss Dankern,NI,52.7957940216405,7.204885090053938,0.0,0
30,Schloss Celle,NI,52.62406441619698,10.077808444129255,0.0,20220415
31,Schloss Oranienburg,BB,52.75396027144173,13.236772552702844,0.0,0
32,Brandenburg an der Havel,BB,52.41334137501645,12.529453695155016,0.0,20230905
33,Potsdam,BB,52.390355934640425,13.062774113465919,0.0,20230906
34,Burg Bentheim,NI,52.30314308845559,7.1570448677220115,0.0,0
35,Osnabrück,NI,52.27893502621269,8.046418179782323,0.0,20220603
36,Schloss Wolfsburg,NI,52.439552444065335,10.79925201496817,0.0,20230907
37,Frankfurt (Oder),BB,52.3467771465206,14.549837594765933,0.0,0
38,Schloss Bückeburg,NI,52.25932735649475,9.043669338208085,0.0,20220824
39,Braunschweig,NI,52.26858079252328,10.52471672976668,0.0,20230907
40,Schloss Hundisburg,ST,52.24935221527962,11.400886221256277,0.0,20230904
41,Schloss Marienburg,NI,52.17283101343114,9.766472054653704,0.0,20220422
42,Sparrenburg,NW,52.01523752314173,8.526631290871997,0.0,20220826
43,Hildesheim,NI,52.15425526495859,9.951017524436411,0.0,20220422
44,Museum Schloss Salder,NI,52.13547338296128,10.338195551471065,0.0,20230908
45,Externsteine,NW,51.86921291728512,8.917488551927056,0.0,20220825
46,Münster,NW,51.96047067407954,7.625518805012289,0.0,20220828
47,Museum Schloss Moyland,NW,51.75533507018938,6.236737869210896,0.0,0
48,Schloss Lembeck,NW,51.74345219881153,7.001488560371275,0.0,0
49,Schloss Corvey,NW,51.77893980240437,9.40912310442566,0.0,20250504
50,Kaiserpfalz Goslar,NI,51.90311337021377,10.425563355976232,0.0,20241223
51,Schloss Wernigerode,ST,51.83095335069287,10.795046094003201,0.0,20230909
52,Quedlinburg,ST,51.79185851877687,11.141180171278226,0.0,0
53,Kloster Zinna,BB,52.05166462111829,13.109340606313712,0.0,0
54,Schloss Nordkirchen,NW,51.732349945004,7.5340012593675425,0.0,20220828
55,Schloss Neuhaus,NW,51.75330070228831,8.722389536387789,0.0,20220826
56,Wörlitzer Park,ST,51.84609038586228,12.420666464718538,0.0,20230905
57,Spreewald,BB,51.91749263961604,13.925744376850437,0.0,0
58,Nationalpark Harz,NI,51.78018794847488,10.523120756373297,0.0,20230909
59,Burg Falkenstein,ST,51.68239008637555,11.265176105974971,0.0,0
60,Zeche Zollverein,NW,51.48815782652545,7.043742349213617,0.0,20220827
61,Dortmund,NW,51.51457499684815,7.468853230376408,0.0,20220828
62,Bilsteinhöhlen Warstein,NW,51.42567003628314,8.32241998170486,0.0,0
63,Einhornhöhle,NI,51.63536561180231,10.404198424036618,0.0,0
64,KZ Gedenkstätte Mittelbau-Dora,TH,51.53580088463544,10.748691059747904,0.0,0
65,Cottbus,BB,51.75605105899112,14.330817181270715,0.0,0
66,Halle,ST,51.49484119642199,11.966366241550338,0.0,0
67,Villa Hügel,NW,51.407183441880655,7.008852324133112,0.0,20220827
68,Dechenhöhle,NW,51.36605500557285,7.644409788961396,0.0,20250406
69,Kyffhäuser,TH,51.41341692314043,11.10852065259762,0.0,0
70,Kassel,,51.311371910790164,9.493582471144377,0.0,20230726
71,Burg Hanstein,TH,51.33946187094988,9.940205623654538,0.0,20240122
72,Schloss Muskau,,51.54783994521867,14.723053734824328,0.0,0
73,Burg Altena,NW,51.29982672141656,7.674865428397534,0.0,20250406
74,Barbossahöhle,TH,51.375966859843224, 11.036302133115079,0.0,0
75,Atta-höhle,NW,51.125810070320966,7.914923215431504,0.0,0
76,Schloss Neuenburg,ST,51.20849520210174,11.775510890356312,0.0,20250420
77,Nationalpark Hainich,TH,51.08460602040432,10.438141112724038,0.0,0
78,Schloss Moritzburg,,51.16794590575057,13.679425246662447,0.0,0
79,Düsseldorf,NW,51.224166874759895,6.776960935247911,0.0,20211115
80,Schloss Burg,NW,51.13758362148698,7.15264819973744,0.0,20250405
81,Edersee,,51.193288865294804,9.031277779306889,0.0,20230725
82,Naumburg,ST,51.24921862560394,9.165698637563054,0.0,20250420
83,Kluterhöhle,NW,51.298901381312696,7.35436435258911,0.0,20250405
84,Schloss Colditz,,51.13100343173931,12.807336524532097,0.0,0
85,Schloss Albrechtsburg,,51.16679672958462,13.471135440733834,0.0,0
86,Bautzen,,51.179912070023505,14.423220465084627,0.0,0
87,Görlitz,,51.15209123388361,14.968230960509677,0.0,0
88,KZ Buchenwald,TH,51.021625802884024,11.249222706823467,0.0,20250421
89,Wartburg,TH,50.96886494157502,10.307067542647713,0.0,20230729
90,Burg Gnandstein,,51.01855587189774,12.575748565833486,0.0,0
