submap,latitude,longitude,date,name
SH,54.916457420617380,08.321670855436556,,Sylt
SH,54.832260504751180,09.543389307126942,20220805,Schloss Glücksburg
MV,54.551938324067685,13.647389577509044,20250824,Nationalpark Jasmund
SH,54.511807231202940,09.540365320681609,20220522,Schloss Gottorf
MV,54.380822790956030,13.627404358233220,20250825,Jagdschloss Granitz
SH,54.323021276662544,10.122796585862316,20220508,Kiel
MV,54.307992013527310,13.075185913637460,20250823,Stralsund
SH,54.184859920720900,07.910414848490686,,Heligoland
SH,54.157388351237394,10.413893059429528,20220402,Schloss Plön
MV,54.092190114439970,12.098179552985100,20220806,Rostock
MV,54.086673923943640,13.393001142424560,20250826,Griefswald
MV,53.959441658878800,11.159486395361224,20220611,Schloss Bothmer
MV,53.887998384713660,11.461938895475289,20220611,Wismar
SH,53.866318276004490,10.679651728734090,20210902,Museum Holstentor
MV,53.791023625766286,12.176948610107752,20220806,Schloss Güstrow
SH,53.680270328643910,10.240370850666055,20220328,Schloss Ahrensburg
MV,53.636063501943184,11.399830219588363,20220223,Schwerin
NI,53.572383636848930,07.902930306896357,20250913,Schlossmuseum Jever
HH,53.549384468623530,09.987264338776065,20210901,Hamburg
HB,53.539715292918320,08.580679951271494,20221022,Bremerhaven
NI,53.515347336665610,07.058578581815411,20250913,Naturschutzgebiet Leyhörn
MV,53.496455830952030,13.315176357142477,20250829,Burg Stargard
MV,53.460069540520180,12.830596844142264,20250827,Müritz-Nationalpark
MV,53.459219341520810,12.261470949154244,20250827,Plau am See
MV,53.325028385994660,11.488361742187172,20220812,Schloss Ludwigslust
NI,53.248177802095910,10.415697695741414,20220618,Lüneburg
NI,53.166314206424850,09.918862572405716,20230826,Lüneburger Heide
NI,53.143449834713700,08.214471744592352,20250914,Oldenburg
BB,53.098636432033730,12.889881266929423,20250829,Schloss Rheinsberg
HB,53.080059761272270,08.798271306152047,20230624,Bremen
NI,53.078862611712560,10.578089757087149,20220415,Bad Bevensen
BB,52.849672655669714,13.941371623825896,,Schiffshebewerk Niederfinow
NI,52.838453791601240,07.537159781388012,20250914,Schloss Clemenswerth
NI,52.795794021640500,07.204885090053938,20250914,Schloss Dankern
BB,52.753960271441730,13.236772552702844,20250823,Schloss Oranienburg
NI,52.624064416196980,10.077808444129255,20220415,Schloss Celle
BB,52.556941923203840,13.136475744107408,20250828,KZ Falkensee
BE,52.519298194900280,13.405058359701820,20210925,Berlin
BE,52.516312743817710,13.377701946006390,20210925,Brandenburger Tor
BE,52.514529351808340,13.350110832404154,20210926,Berlin Zoo
BE,52.486340972208370,13.539670867015700,20250830,Museum Berlin-Karlshorst
NI,52.439552444065335,10.799252014968170,20230907,Schloss Wolfsburg
BB,52.413341375016450,12.529453695155016,20230905,Brandenburg an der Havel
BB,52.390355934640425,13.062774113465920,20230906,Potsdam
NI,52.375167801792266,09.725507504238154,20220423,Hanover
BB,52.346777146520600,14.549837594765933,,Frankfurt (Oder)
NI,52.303143088455590,07.157044867722012,20250914,Burg Bentheim
NI,52.278935026212690,08.046418179782323,20220603,Osnabrück
NI,52.268580792523280,10.524716729766680,20230907,Braunschweig
NI,52.259327356494750,09.043669338208083,20220824,Schloss Bückeburg
ST,52.249352215279620,11.400886221256275,20230904,Schloss Hundisburg
NW,52.243791579985380,08.924171808413110,20211226,Port-Kanzel
NI,52.172831013431140,09.766472054653704,20220422,Schloss Marienburg
NI,52.154255264958590,09.951017524436413,20220422,Hildesheim
NI,52.135473382961280,10.338195551471063,20230908,Museum Schloss Salder
ST,52.112376841597790,11.606903290185388,20230904,Magdeburg
BB,52.051664621118290,13.109340606313712,,Kloster Zinna
NW,52.015237523141730,08.526631290871997,20220826,Sparrenburg
NW,51.960470674079540,07.625518805012289,20220828,Münster
BB,51.917492639616040,13.925744376850435,,Spreewald
NI,51.903113370213770,10.425563355976232,20241223,Kaiserpfalz Goslar
NW,51.869212917285120,08.917488551927056,20220825,Externsteine
ST,51.846090385862280,12.420666464718538,20230905,Wörlitzer Park
ST,51.830953350692870,10.795046094003200,20230909,Schloss Wernigerode
ST,51.791858518776870,11.141180171278226,,Quedlinburg
NI,51.780187948474880,10.523120756373295,20230909,Nationalpark Harz
NW,51.778939802404370,09.409123104425660,20250504,Schloss Corvey
BB,51.756051058991120,14.330817181270715,,Cottbus
NW,51.755335070189380,06.236737869210896,20250726,Museum Schloss Moyland
NW,51.753300702288310,08.722389536387789,20220826,Schloss Neuhaus
NW,51.743452198811530,07.001488560371275,20250726,Schloss Lembeck
NW,51.732349945004000,07.534001259367542,20220828,Schloss Nordkirchen
ST,51.682390086375550,11.265176105974971,,Burg Falkenstein
NI,51.635365611802310,10.404198424036618,20250713,Einhornhöhle
SN,51.547839945218670,14.723053734824328,20250620,Schloss Muskau
TH,51.535800884635440,10.748691059747904,20250713,KZ Gedenkstätte Mittelbau-Dora
NW,51.514574996848150,07.468853230376408,20220828,Dortmund
ST,51.494841196421990,11.966366241550338,,Halle
NW,51.488157826525450,07.043742349213617,20220827,Zeche Zollverein
NW,51.425670036283140,08.322419981704860,20250727,Bilsteinhöhlen Warstein
TH,51.413416923140430,11.108520652597620,,Kyffhäuser
NW,51.407183441880655,07.008852324133112,20220827,Villa Hügel
TH,51.375966859843220,11.036302133115080,,Barbossahöhle
NW,51.368907764154410,07.862069767003822,20250727,Reckenhöhle
NW,51.366055005572850,07.644409788961396,20250406,Dechenhöhle
