submap,latitude,longitude,date,name
SH,54.91645742061738,8.321670855436556,,Sylt
SH,54.83226050475118,9.543389307126942,20220805,Schloss Glücksburg
MV,54.551938324067685,13.647389577509044,,Nationalpark Jasmund
SH,54.51180723120294,9.540365320681609,20220522,Schloss Gottorf
MV,54.38082279095603,13.62740435823322,,Jagdschloss Granitz
SH,54.323021276662544,10.122796585862316,20220508,Kiel
MV,54.30799201352731,13.07518591363746,,Stralsund
SH,54.1848599207209,7.910414848490686,,Heligoland
SH,54.157388351237394,10.413893059429528,20220402,Schloss Plön
MV,54.09219011443997,12.0981795529851,20220806,Rostock
MV,54.08667392394364,13.39300114242456,,Griefswald
MV,53.9594416588788,11.159486395361224,20220611,Schloss Bothmer
MV,53.88799838471366,11.461938895475289,20220611,Wismar
SH,53.86631827600449,10.67965172873409,20210902,Museum Holstentor
MV,53.791023625766286,12.176948610107752,20220806,Schloss Güstrow
SH,53.68027032864391,10.240370850666055,20220328,Schloss Ahrensburg
MV,53.636063501943184,11.399830219588363,20220223,Schwerin
NI,53.57238363684893,7.902930306896357,,Schlossmuseum Jever
HH,53.54938446862353,9.987264338776065,20210901,Hamburg
HB,53.53971529291832,8.580679951271494,20221022,Bremerhaven
NI,53.51534733666561,7.058578581815411,,Naturschutzgebiet Leyhörn
MV,53.49645583095203,13.315176357142477,,Burg Stargard
MV,53.46006954052018,12.830596844142264,,Müritz-Nationalpark
MV,53.45921934152081,12.261470949154244,,Plau am See
MV,53.32502838599466,11.488361742187172,20220812,Schloss Ludwigslust
NI,53.24817780209591,10.415697695741414,20220618,Lüneburg
NI,53.16631420642485,9.918862572405716,20230826,Lüneburger Heide
NI,53.1434498347137,8.214471744592352,,Oldenburg
BB,53.09863643203373,12.889881266929423,,Schloss Rheinsberg
HB,53.08005976127227,8.798271306152047,20230624,Bremen
NI,53.07886261171256,10.578089757087149,20220415,Bad Bevensen
BB,52.849672655669714,13.941371623825896,,Schiffshebewerk Niederfinow
NI,52.83845379160124,7.537159781388012,,Schloss Clemenswerth
NI,52.7957940216405,7.204885090053938,,Schloss Dankern
BB,52.75396027144173,13.236772552702844,,Schloss Oranienburg
NI,52.62406441619698,10.077808444129255,20220415,Schloss Celle
BB,52.55694192320384,13.136475744107408,,KZ Sachsenhausen
BE,52.51929819490028,13.40505835970182,20210925,Berlin
