submap,latitude,longitude,label_latitude,label_longitude,date,name
NO,72.500000,20.6942220,71.080414,20.6942220,,Svalbard and Jan Mayen
NO,71.183368,25.7868360,71.183368,25.7868360,,North Cape
FI,68.913132,27.0270170,68.913132,27.0270170,,Inari
FI,68.649441,25.5959000,68.649441,25.5959000,,Lemmenjoki National Park
NO,68.494173,13.8666660,68.494173,13.8666660,,Lofoten
FI,67.938299,26.4994070,67.938299,26.4994070,,Lapland
FI,66.537278,25.7156040,66.537278,25.7156040,,Rovaniemi
IS,64.786517,-17.210777,68.786517,-2.2107770,,Vatnajökull National Park
IS,64.313712,-20.299586,68.513712,-6.0995860,,Golden Circle
IS,64.147278,-21.940789,68.147278,-6.9407890,,Reykjavik
IS,64.048882,-16.183074,68.348882,-1.1830740,,Jökulsárlón Glacier Lagoon
IS,63.986246,-19.067237,67.986246,-4.0672370,,Landmannalauger
IS,63.879373,-22.445284,67.579373,-7.8452840,,Blue Lagoon
IS,63.617599,-19.988695,67.617599,-4.9886950,,Seljalandsfoss
NO,63.438152,10.3969540,63.438152,10.3969540,,Trondheim
IS,63.433965,-18.998880,67.233965,-3.9988800,,Vik
FI,62.968892,27.6745780,62.968892,27.6745780,,Kuopio
NO,62.470373,7.66653800,62.470373,7.96653800,,Trolstigen
NO,62.108099,7.09414700,62.848924,6.15737300,,Seven Sisters Waterfall
NO,62.102421,7.09369700,62.102421,7.09369700,,Geirangerfjord
FI,61.880751,28.8845150,61.880751,28.8845150,,Savonlinna
NO,61.654884,8.55569200,61.043890,9.85569200,,Glittertind
NO,61.643890,8.31454400,61.043890,7.01454400,,Galdhøpiggen
NO,61.561224,8.48253800,61.531224,8.48253800,,Jotunheimen National Park
NO,60.395343,5.32055400,60.445343,5.32055400,,Bergen
RU,60.317440,59.1820020,60.317440,59.1820020,,Ural Mountains
SE,60.200732,19.9200330,60.200732,19.9200330,,Åland
FI,60.185208,24.9423450,60.185208,24.9423450,,Helsinki
NO,60.126281,6.73937000,60.076281,6.73937000,,Trolltunga
RU,59.949170,30.3270350,60.889995,31.2638090,,Troitskiy Bridge
RU,59.931581,30.3608510,60.872406,31.2976250,,St Petersburg
NO,59.917497,10.7536800,59.917497,10.7536800,,Oslo
RU,59.885067,29.8846760,59.885067,29.8846760,,Petergof
SE,59.874017,17.6403610,59.874017,17.6403610,,Uppsala
EE,59.567722,25.7810320,59.567722,25.7810320,,Lahemaa
EE,59.436892,24.7535070,59.436892,24.7535070,,Tallinn
SE,59.332855,18.0656020,59.332855,18.0656020,,Stockholm
SE,59.326385,18.0718880,58.967210,19.0086620,,Gamla Stan
NO,58.995877,6.19109000,58.995877,6.19109000,,Pulpit Rock
SE,58.841745,11.0340750,58.841745,11.0340750,,Kosterhavet National Park
EE,58.579348,23.2668610,58.579348,23.2668610,,Muhu
EE,58.483697,22.6121030,58.483697,22.6121030,,Saaremaa
EE,58.391525,24.4953530,58.391525,24.4953530,,Pärnu
EE,58.377949,26.7289910,58.377949,26.7289910,,Tartu
EE,58.060245,26.4969110,58.060245,26.4969110,,Otepää
LV,57.761807,22.6031900,57.761807,22.6031900,,Cape Kolka
DK,57.726452,10.5790000,57.846452,10.5790000,,Skagen
SE,57.709248,11.9745910,57.709248,12.9745910,,Gothenburg
DK,57.650982,10.4099790,57.500982,10.4099790,,Råbjerg Mile
LV,57.419294,21.6106690,57.419294,21.6106690,,Ventspils
SE,57.386991,18.6979470,57.386991,18.6979470,,Gotland
LV,57.332376,25.2121910,57.332376,25.2121910,,Guaja National Park
UK,57.282670,-6.2157790,57.582670,-6.5157790,,Isle of Skye
UK,57.140746,-4.7140370,57.140746,-4.2140370,,Scottish Highlands
LV,56.976030,21.9667180,56.976030,21.9667180,,Kuldiga
LV,56.970597,23.7735500,56.970597,23.7735500,,Jūrmala
LV,56.968370,24.1055320,57.909195,25.0423060,,Riga
LV,56.949872,24.1035680,57.890697,25.0403420,,Riga Old Town
UK,56.934067,-5.4403250,56.834067,-5.4403250,,Glenfinnan Viaduct
LV,56.542788,21.0539950,56.542788,21.0539950,,Liepāja
RU,56.424362,40.4474720,56.424362,40.4474720,,Suzdal
DK,56.285110,10.4788570,56.385110,10.4788570,,Naitionalpark Mols Bjerge
DK,56.163461,10.2039220,56.063461,10.2039220,,Aarhus
LT,56.034438,21.8530440,56.034438,21.8530440,,Žemaitijos nacionalinis parkas
LT,56.015766,23.4159410,56.015766,23.4159410,,Hill of Crosses
UK,55.954120,-3.1880190,55.954120,-3.1880190,,Edinburgh
UK,55.949567,-3.2003150,55.590392,-4.1370890,,Edinburgh Castle
RU,55.755909,37.6172670,56.694793,38.5575810,,Moscow
RU,55.753968,37.6208070,55.567744,38.5540410,,Krasnaya ploshchad'
DK,55.735924,9.13052400,55.735924,9.13052400,,Legoland
DK,55.683049,12.5673390,55.683049,11.7673390,20230527,Copenhagen
SE,55.605512,13.0036290,55.905512,13.9036290,,Malmö
SE,55.575931,12.8278440,55.275931,13.7278440,,Øresund Bridge
LT,55.343920,26.0570390,55.343920,26.0570390,,Aukštaitija National Park
LT,55.332906,21.0171330,55.332906,21.0171330,,Curion Split
LT,55.317311,21.3500830,55.317311,21.3500830,,Nemunas Delta
UK,55.232464,-6.5292030,55.232464,-6.5292030,,Giants Causeway
DK,55.178662,10.4898890,55.278662,10.4898890,,Egeskov Castle
DK,54.967280,12.5504650,54.867280,12.5504650,,Møns Klint
LT,54.886761,24.8545200,54.886761,24.8545200,,Karnavè
BY,54.749360,28.3123010,54.749360,28.3123010,,Biarezinski Biosphere Reserve
LT,54.687538,25.2794420,54.687538,25.2794420,,Vilnus
PL,54.355741,18.6467790,54.355741,18.6467790,,Gdańsk
UK,53.963948,-1.0741550,53.963948,-1.0741550,,York
BY,53.901014,27.5589240,53.901014,27.5589240,,Minsk
BY,53.671001,23.8224180,53.671001,23.8224180,,Hrodna
DE,53.559038,9.98397500,53.559038,9.98397500,20210901,Hamburg
PL,53.558332,20.4515130,53.558332,20.4515130,,Masurian Lake District
BY,53.451357,26.4729160,53.451357,26.4729160,,Mir Castle
IR,53.350847,-6.2601830,53.350847,-6.2601830,20230203,Dublin
IR,53.276348,-9.0506570,53.276348,-9.0506570,20230204,Galway
BY,53.223335,26.6924150,54.164160,27.6291890,,Nesvizh Radziwiłł Castle
BY,53.223317,26.6764610,54.164142,27.6132350,,Nesvizh
PL,53.023931,18.5959600,53.023931,18.5959600,,Toruń
IR,52.975793,-9.4312970,52.975793,-9.4312970,20230204,Cliffs of Moher
UK,52.926046,-3.9002630,52.926046,-3.9002630,20170101,Snowdonia National Park
BY,52.570851,23.8028580,52.570851,23.8028580,,Bielaviežskaja Pušča NP
DE,52.537769,13.3903120,52.878594,13.3903120,20210925,Berlin Wall Memorial
DE,52.522630,13.4048730,52.522630,13.4048730,20210925,Berlin
NL,52.472863,4.82183800,52.472863,4.82183800,,Zaanse Schans
NL,52.371965,4.88862000,53.312790,3.95184600,,Canals of Ansterdam
NL,52.367572,4.90402900,52.367572,4.90402900,,Amsterdam
NL,52.269686,4.54693800,52.269686,4.54693800,,Keukenhof
NL,52.163619,4.48023600,52.163619,4.48023600,,Leiden
BY,52.101583,23.7635420,52.101583,23.7635420,,Brest
NL,52.070507,4.30070100,52.070507,4.30070100,,Den Haag
IR,52.039079,-9.6390800,52.239079,-9.8390800,,Gap of Dunloe
UK,51.985908,-3.1162090,52.085908,-3.1162090,,Black Mountains
NL,51.924371,4.47763900,51.924371,4.47763900,,Rotterdam
IR,51.838988,-9.9008750,51.838988,-9.0008750,,Ring of Kerry
IR,51.771132,-10.540628,51.471132,-10.640628,,Great Skellig
UK,51.754606,-1.2583180,51.754606,-1.2583180,20170101,Oxford
DE,51.536313,14.6404780,51.536313,14.6404780,20250620,Rakotzbrücke
UK,51.509156,-0.1282780,51.409156,-0.1282780,20170101,London
UK,51.507445,-0.0758050,52.448270,1.01257900,20170101,Tower Bridge
UK,51.500753,-0.1246230,52.085908,-0.6613970,20170101,Big Ben
UK,51.384374,-2.3616770,51.384374,-2.3616770,20170101,Bath
UA,51.276866,30.2213450,51.276866,30.2213450,,Chornobyl
BE,51.219924,4.41493100,51.219924,4.41493100,,Antwerp
BE,51.208434,3.22504000,51.208434,3.22504000,,Brugge
UK,51.182374,-1.8257970,51.082374,-1.8257970,20170101,Stonehenge
PL,51.111391,17.0378070,51.111391,17.0378070,,Wroclaw
BE,51.049978,3.73037700,51.049978,3.73037700,,Gent
DE,50.937869,6.96024500,50.937869,6.96024500,20211113,Köln
BE,50.857671,2.87117700,50.857671,2.87117700,,Ypres
BE,50.847698,4.35716200,51.787588,5.11887200,,Bruxelles
BE,50.846763,4.35242000,51.788523,3.42038800,,Grand Palace of Bruxelles
NL,50.835767,5.68385900,50.835767,5.68385900,,Sint Peter Fort
CZ,50.606719,15.2112450,50.606719,15.2112450,,Český ráj
UA,50.450653,30.5243870,50.450653,30.5243870,,Kyiv
BE,50.402527,5.12023400,50.402527,5.12023400,,Wallonia
CZ,50.232443,12.8716650,50.232443,12.0716650,,Karlovy Vary
BE,50.206251,5.02349100,50.206251,5.02349100,,Ardennes
