submap,latitude,longitude,label_latitude,label_longitude,date,name
04,39.092464,44.543674,39.092464,44.543674,,St. Thaddeus monastery
03,38.978809,45.472961,38.978809,45.472961,20210904,Monastery of Saint Stepanos
03,38.838861,46.978220,38.838861,46.978220,,Babak Fort
04,38.544745,44.958894,38.544745,44.958894,,Khoy
01,38.403491,48.606865,38.403491,48.606865,20210902,Heyran
24,38.402548,47.688912,38.954413,47.981043,,The Great Old Castle
24,38.397829,47.677429,38.929985,47.908699,,Meshginshahr
03,38.335870,45.639837,38.335870,45.639837,20210904,Mishov Mountain
24,38.330054,47.843562,38.458166,48.074833,,Shabil Hot Mineral Spring
24,38.266985,47.836794,38.513353,48.311507,,Savalan Volcano
24,38.247515,48.290748,38.247515,48.290748,,Sheikh Safi Al-Din Ardabili Shrine
03,38.099998,46.333582,38.031015,45.591082,20210904,Eynali Mount
03,38.082110,46.293200,37.926319,45.559950,20210904,Tabriz Historic Bazaar
03,38.074140,46.302451,37.541590,45.801942,20210904,The Iron Age Museum
03,38.073745,46.300999,37.618937,45.794142,20210904,Blue Mosque
03,38.073386,46.299879,37.925565,45.557379,20210904,Azarbaijan Museum
03,37.793979,46.248326,37.793979,46.248326,20210904,Kandovan
03,37.729556,46.500370,37.729556,46.500370,20210904,Sahand
04,37.549729,45.078385,37.549729,45.078385,20210905,Urmia
28,37.541538,56.381380,37.541538,56.381380,,Golestan National Park
03,37.487494,45.664044,37.487494,45.664044,,Urmia Lake National Park
01,37.468789,49.353625,37.468789,49.353625,,Anzali Lagoon
01,37.463700,49.479476,37.463700,49.479476,,Bandar Anzali
01,37.451976,49.921200,37.451976,49.921200,,Bojaq National Park
09,37.428878,58.856948,37.428878,58.856948,,Forest Park Tandooreh
28,37.396656,57.930830,37.396656,57.930830,,Shirvan
28,37.319659,57.287701,37.319659,57.287701,20210929,Aladagh Mountains
01,37.279244,49.584602,37.793269,49.823048,20210902,Shahrdari Square
01,37.270968,49.591778,37.525612,50.120176,20210902,Rasht
27,37.257753,55.169152,37.257753,55.169152,20210928,Qabus Ibn Voshmgir Historical Tower
01,37.206142,50.002516,37.206142,50.002516,20210902,Lahijan
28,37.202978,57.315761,37.202978,57.315761,,Salook National Park
01,37.154819,48.989210,37.154819,48.989210,20210902,Masuleh
01,37.127933,49.647813,37.127933,49.647813,20210902,Gilan Rural Heritage Museum
01,37.076806,49.250831,37.143213,48.496783,20210902,Qaleh Rudkhan
28,37.076107,57.509760,37.076107,57.509760,20210929,Esfarayen
01,37.064376,49.239283,36.928985,48.605708,20210902,Rudkhan Castle
28,37.026470,57.711927,37.026470,57.711927,,Sarigol Protected Area
19,36.953951,48.960588,36.953951,48.960588,,Tarom
04,36.903662,46.188878,36.903662,46.188878,20210905,Zarrine River
27,36.892073,54.070080,36.892073,54.070080,20210928,Bandar-e Torkman
27,36.842684,54.434845,36.842684,54.434845,20210928,Gorgan
01,36.809453,49.416013,36.809453,49.416013,20210902,Rudbar
02,36.805076,53.582921,36.805076,53.582921,,Miankaleh Wildlife Sanctuary
04,36.776621,44.918784,36.776621,44.918784,,Cheekha Dar
04,36.764833,45.720234,36.764833,45.720234,,Mahabad
20,36.757422,55.049835,36.757422,55.049835,,Paband National Park
19,36.741305,47.676906,36.741305,47.676906,20210920,Mahneshan
20,36.707359,55.668471,36.707359,55.668471,,Khar Turan National Park
19,36.671167,48.484973,36.516766,47.977399,20210920,Rakhtshooi Khanah
19,36.670807,48.480793,36.720081,47.738293,20210920,Zanjan Saltmen Museum
19,36.664587,48.476457,36.533201,48.180670,,Hosseinieh Azam Zanjan Mosque
02,36.654043,51.421010,37.008813,52.163510,20210903,Chalus
02,36.649360,51.488661,36.984420,52.231161,20210903,Nowshahr
04,36.604120,47.234137,36.604120,47.234137,20210905,Takht-e Soleyman Archaeological Site
02,36.565648,53.058464,36.565648,53.058464,,Sari
02,36.538538,52.676151,36.538538,52.676151,,Babol
26,36.483338,50.389870,36.483338,50.389870,,Alamut-e Sharqi District
09,36.479662,59.505072,36.479662,59.505072,20210910,Tous
02,36.470182,52.345615,36.470182,52.345615,,Amol
26,36.443868,50.586026,36.443868,50.586026,,Alamut Castle
19,36.433921,48.795826,36.433921,48.795826,20210920,Soltaniyeh Dome
20,36.419250,54.968880,36.419250,54.968880,20210921,Shahrud
09,36.418955,58.850045,36.418955,58.850045,20210910,Mount Binalud
09,36.389402,59.288889,36.389402,59.288889,20210910,Shandiz
09,36.337113,59.445093,36.635777,59.614015,20210910,Vakilabad Garden
19,36.330434,48.864187,36.330434,48.864187,20210920,Dashkasan Temple
09,36.310571,59.382744,36.898832,59.676364,20210910,Torghabeh
09,36.294749,59.610416,36.317972,59.622589,20210910,Memorial of Nader Shah
02,36.291402,52.922241,36.291402,52.922241,,Hyrcanian forests
09,36.287848,59.615674,35.731440,59.737349,20210910,Imam Reza Shrine
09,36.287186,59.613901,35.806986,59.579158,20210910,Goharshad Mosque
09,36.286463,59.335669,35.734697,59.589557,20210910,Arghawan Valley
02,36.276235,52.733278,36.276235,52.733278,,Tirkan 7 Waterfalls
02,36.271249,51.245341,36.271249,51.245341,20210903,Chalus Rd
26,36.268865,50.000663,36.268865,50.000663,,Caravanserai Sa'd al Saltaneh
02,36.249339,53.779506,36.249339,53.779506,,Badab Soort Springs
09,36.215028,57.667043,36.215028,57.667043,20210910,Sabzevar
09,36.211767,58.795091,36.211767,58.795091,20210910,Neyshabur
02,36.202887,53.429099,36.202887,53.429099,,Kiasar National Park
20,36.158452,54.333736,36.158452,54.333736,,Damghan
02,36.152678,52.529335,36.152678,52.529335,,Filband
26,36.066696,49.696220,36.066696,49.696220,20210927,Takestan
30,36.049524,51.416524,36.178511,51.297442,20211001,Dizin
30,36.037568,51.196401,36.037568,51.196401,20211001,Asara
23,36.009905,51.490169,36.433858,51.538245,,Shemshak
02,35.966073,52.542572,35.966073,52.542572,20210903,Alborz Mountains
02,35.954770,51.978716,35.954770,51.978716,20210903,Lar National Park
02,35.952691,52.110104,35.952691,52.110104,20210903,Mount Damavand
23,35.932143,51.528713,36.069789,51.681301,,Fasham
02,35.908772,52.257408,35.908772,52.257408,20210903,Shahandasht Waterfall
12,35.871859,47.602271,35.871859,47.602271,,Bijar
30,35.843530,50.973446,35.843530,50.973446,20211001,Karaj
19,35.828680,48.162253,35.828680,48.162253,20210920,Katale Khor Cave
23,35.823420,51.425686,36.051554,51.442130,,Darband
23,35.810829,51.472271,36.048991,51.677562,,Niavaran Palace Complex
23,35.805283,51.430559,36.453368,51.502341,,Tajrish Traditional Bazaar
23,35.805186,51.429957,36.057197,51.484443,,Imamzadeh Saleh
23,35.802622,51.421947,36.051651,51.442731,,Ferdows Garden
23,35.790182,51.678413,35.790182,51.678413,,Latyan Dam
30,35.787449,50.886428,35.787449,50.886428,20211001,Shams Palace
23,35.754289,51.420101,35.596698,51.874268,,Tabiat Bridge
23,35.744519,51.375211,35.606468,51.675716,,Milad Tower
23,35.717500,51.530831,35.717500,51.530831,20210924,Sorkheh Hesar National Park
23,35.699642,51.337975,35.261079,51.691814,,Azadi Tower
23,35.694118,51.419450,35.538889,51.913417,,Treasury of National Jewels
23,35.688950,51.432919,35.531881,51.676092,,Motahhari Mosque
23,35.686710,51.414360,35.487168,51.675065,,National Museum of Iran
23,35.679702,51.420477,35.197051,51.837032,,Golestan Palace
23,35.605994,51.436199,35.265196,51.931976,,Rey
20,35.575643,53.395533,35.575643,53.395533,20210921,Semnan
