ID,Province,Symbolic Landscape,Cultural Identity,Signature Product,Iconic Site
00,Markazi,Central plateau,Industrial heartland,Machinery,Arak Bazaar
01,Gilan,Caspian forests,Rice culture,Tea and rice,Masuleh
02,Mazandaran,Caspian coast,Forest and sea culture,Citrus and rice,Badab-e Surt
03,East Azerbaijan,Caucasus mountains,Azerbaijani Turkic culture,Kufteh Tabrizi,Tabriz Bazaar
04,West Azerbaijan,Lake Urmia basin,Multicultural frontier,Apples and honey,Takht-e Soleyman
05,Kermanshah,Zagros valleys,Kurdish-Sassanian heritage,Oilseeds,Taq-e Bostan
06,Khuzestan,Karun River,Elamite and Arab heritage,Dates and sugarcane,Shushtar Hydraulic System
07,Fars,Zagros foothills,Ancient Persia,Citrus and wine grapes,Persepolis
08,Kerman,Lut Desert,Caravan routes,Pistachios and carpets,Arg-e Bam
09,Razavi Khorasan,Steppe and mountains,Pilgrimage culture,Saffron,Imam Reza Shrine
10,Isfahan,Zayandeh Rud River,Safavid imperial culture,Minakari enamel,Naqsh-e Jahan Square
11,Sistan and Baluchestan,Makran coast,Baluchi culture,Handwoven textiles,Shahr-e Sukhteh
12,Kurdistan,Zagros Mountains,Kurdish culture,Kilim rugs,Hawraman
13,Hamadan,Alvand Mountains,Median heritage,Leather and walnuts,Avicenna Tomb
14,Chaharmahal and Bakhtiari,Zagros headwaters,Bakhtiari nomads,Dairy products,Koohrang
15,Lorestan,Waterfalls,Lur culture,Woodcraft,Falak-ol-Aflak Castle
16,Ilam,Forested Zagros,Lur-Kurd culture,Forest honey,Kabir Kuh
17,Kohgiluyeh and Boyer-Ahmad,Forested Zagros,Lur nomads,Honey,Dena Mountains
18,Bushehr,Persian Gulf,Maritime culture,Fish and dates,Old Port of Bushehr
19,Zanjan,Steppe and hills,Craft tradition,Knives and filigree,Soltaniyeh Dome
20,Semnan,Desert and steppe,Caravan crossroads,Handicrafts,Tarikhaneh Mosque
21,Yazd,Central desert,Zoroastrian heritage,Qottab sweets,Windcatchers
22,Hormozgan,Islands and mangroves,Seafaring culture,Dates and fish,Hormuz Island
23,Tehran,Alborz Mountains,Political & modern Iran,Publishing and media,Milad Tower
24,Ardabil,Sabalan volcano,Safavid origins,Honey and dairy,Sheikh Safi Shrine
25,Qom,Desert shrine city,Religious scholarship,Sohan sweets,Fatima Masumeh Shrine
26,Qazvin,Alborz foothills,Former capital,Grapes,Alamut Castle
27,Golestan,Steppe and forest,Turkmen culture,Wheat,Gonbad Tower
28,North Khorasan,Aladagh Mountains,Kurdish-Turkmen mix,Dried fruits,Aladagh Mountains
29,South Khorasan,Desert oases,Saffron culture,Saffron and barberry,Akbarieh Garden
30,Alborz,Alborz range,Mountain recreation,Tourism,Chalus Road
