submap,latitude,longitude,date,name,geometry
AK,68.136164,-159.90742667374997,,Noatak NPres,POINT (-131.9629706695 31.651229880000002)
AK,67.776828,-153.3464765936084,,Gates of the Arctic NP&NPres,POINT (-129.33859063744336 31.41047476)
AK,67.507877,-159.2262922854816,,Kobuk Valley NP,POINT (-131.69051691419264 31.23027759)
AK,67.418385,-163.50522929245065,,Cape Krusenstern NM,POINT (-133.40209171698027 31.170317950000005)
AK,65.926059,-164.4379373085557,,Bering Land Bridge NPres,POINT (-133.7751749234223 30.170459530000002)
AK,64.971812,-143.29073746461393,,Yukon-Charley Rivers NPres,POINT (-125.31629498584557 29.531114040000006)
AK,63.375583,-150.79830005732927,,Denali NP,POINT (-128.31932002293172 28.461640610000003)
AK,61.282822,-142.89384237349654,,Wrangell-St Elias NP&NPres,POINT (-125.15753694939862 27.059490740000008)
AK,60.634254,-153.30417522882277,,Lake Clark NP&NPres,POINT (-129.3216700915291 26.62495018)
AK,59.929391,-150.1625651423825,,Kenai Fjords NP,POINT (-128.065026056953 26.15269197)
AK,59.014565,-156.1182597702813,,Alagnak WR,POINT (-130.44730390811253 25.539758550000002)
AK,58.786102,-136.96688312340547,,Glacier Bay NP&NPres,POINT (-122.78675324936219 25.386688340000006)
AK,58.605381,-154.95996264582317,,Katmai NP NPres,POINT (-129.98398505832927 25.265605270000002)
AK,57.048453,-135.31593885480393,,Sitka NHP,POINT (-122.12637554192158 24.222463510000004)
AK,56.87131,-157.81457868950744,,Aniakchak NM,POINT (-131.12583147580298 24.103777700000002)
WA,48.785985,-121.0655084524056,2021-07-11,Ross Lake NRA,POINT (-121.0655084524056 48.785985)
WA,48.772889,-121.2982356957661,2021-07-11,North Cascades NP,POINT (-121.2982356957661 48.772889)
MT,48.76767,-113.79035554101056,,Glacier NP,POINT (-113.79035554101056 48.76767)
WA,48.591907,-120.40481643171697,2021-07-11,Pacific Crest NST,POINT (-120.40481643171697 48.591907)
WA,48.587001,-123.1508277173961,,San Juan Island NHP,POINT (-123.1508277173961 48.587001)
MI,48.497282,-92.84936472456583,,Voyageurs NP,POINT (-92.84936472456583 48.497282)
WA,48.357325,-120.68541344959507,2021-07-11,Lake Chelan NRA,POINT (-120.68541344959507 48.357325)
WA,48.252041889090656,-122.70740633078576,,Ebey's Landing NHR,POINT (-122.70740633078576 48.252041889090656)
WA,48.13990339563261,-118.2467678028598,2021-07-12,Lake Roosevelt NRA,POINT (-118.2467678028598 48.13990339563261)
MI,48.01998232693837,-88.92532268983267,,Isle Royale NP,POINT (-88.92532268983267 48.01998232693837)
MT,47.9997424311338,-104.04079262539726,,Fort Union Trading Post NHS,POINT (-104.04079262539726 47.9997424311338)
MN,47.962664732287415,-89.68488297854043,,Grand Portage NM,POINT (-89.68488297854043 47.962664732287415)
WA,47.9053581885139,-123.62750862508366,2021-07-22,Olympic NP,POINT (-123.62750862508366 47.9053581885139)
WA,47.60009333380397,-122.33202598285006,2021-07-25,Klondike Gold Rush NHP,POINT (-122.33202598285006 47.60009333380397)
ND,47.331976980987655,-101.38582127874557,,Knife River Indian Villages NHS,POINT (-101.38582127874557 47.331976980987655)
MI,47.2425634651683,-88.44820924424963,,Keweenaw NHP,POINT (-88.44820924424963 47.2425634651683)
ND,47.00318541794516,-103.54218625534534,,Theodore Roosevelt NP,POINT (-103.54218625534534 47.00318541794516)
WA,46.93986442863277,-121.69411663177956,2021-07-18,Mount Rainier NP,POINT (-121.69411663177956 46.93986442863277)
WI,46.934026798394434,-90.6336231821812,,Apostle Islands NL,POINT (-90.6336231821812 46.934026798394434)
MI,46.56890589447937,-86.3186316831853,,Pictured Rocks NL,POINT (-86.3186316831853 46.56890589447937)
ID,46.448003369241896,-116.8224485226628,2021-07-13,Nez Perce NHP,POINT (-116.8224485226628 46.448003369241896)
MT,46.406469591198835,-112.73667594382268,,Grant-Kohrs Ranch NHS,POINT (-112.73667594382268 46.406469591198835)
OR,46.13512571830944,-123.88036470703705,2021-07-17,Lewis and Clark NHP,POINT (-123.88036470703705 46.13512571830944)
WA,46.041900680279134,-118.46409764107824,2021-07-14,Whitman Mission NHS,POINT (-118.46409764107824 46.041900680279134)
WI,46.0283998254678,-92.01263619919912,,Saint Croix NSR,POINT (-92.01263619919912 46.0283998254678)
ME,45.957323311485936,-68.71228711465142,2016-09-23,Katahdin Woods and Waters NM,POINT (-68.71228711465142 45.957323311485936)
MT,45.64207525059023,-113.64334300273688,,Big Hole NB,POINT (-113.64334300273688 45.64207525059023)
WA,45.62740301316505,-122.65635633672818,2021-07-17,Fort Vancouver NHS,POINT (-122.65635633672818 45.62740301316505)
MT,45.57104344062376,-107.42729947968674,2018-11-19,Little Bighorn Battlefield NM,POINT (-107.42729947968674 45.57104344062376)
MI,45.14585925852495,-86.01338971755784,,Sleeping Bear Dunes NL,POINT (-86.01338971755784 45.14585925852495)
ME,45.128938153009294,-67.13366902423219,,Saint Croix Island IHS,POINT (-67.13366902423219 45.128938153009294)
WY,45.054003617601666,-108.2468116180786,,Bighorn Canyon NRA,POINT (-108.2468116180786 45.054003617601666)
MN,44.93248981316008,-93.11273756703379,,Mississippi NRRA,POINT (-93.11273756703379 44.93248981316008)
OR,44.81522589060173,-117.72851362621648,2021-07-16,Oregon NHT,POINT (-117.72851362621648 44.81522589060173)
WY,44.689393770980246,-110.580043488868,2015-05-22,Yellowstone NP,POINT (-110.580043488868 44.689393770980246)
OR,44.63507917821037,-120.23907420195054,2021-07-15,John Day Fossil Beds NM,POINT (-120.23907420195054 44.63507917821037)
SD,44.591629028741856,-104.7147063824598,2018-11-20,Devils Tower NM,POINT (-104.7147063824598 44.591629028741856)
ME,44.37087724,-68.26382357,2016-09-24,Acadia NP,POINT (-68.26382357 44.37087724)
WI,44.27889547129056,-89.23800226102513,,Ice Age NST,POINT (-89.23800226102513 44.27889547129056)
WY,44.08341550808631,-110.6819280712523,2015-05-24,John D RockeFeller Jr Memorial PKWY,POINT (-110.6819280712523 44.08341550808631)
MN,44.01364346667158,-96.32518984559222,2018-10-09,Pipestone NM,POINT (-96.32518984559222 44.01364346667158)
SD,43.9633978652416,-102.35460391660422,2018-11-20,Badlands NP,POINT (-102.35460391660422 43.9633978652416)
WY,43.88659728339675,-110.7336343759602,2015-05-24,Grand Teton NP,POINT (-110.7336343759602 43.88659728339675)
SD,43.880833332552754,-103.45376111587704,2018-11-22,Mount Rushmore NMem,POINT (-103.45376111587704 43.880833332552754)
SD,43.845107913434965,-101.9008554641582,2018-11-21,Minuteman Missle NHS,POINT (-101.9008554641582 43.845107913434965)
SD,43.73143282159258,-103.8298744839508,2018-11-23,Jewel Cave NM,POINT (-103.8298744839508 43.73143282159258)
VT,43.631884064617694,-72.51786263425744,2016-09-22,Marsh-Billings-RockeFeller NHP,POINT (-72.51786263425744 43.631884064617694)
SD,43.59423782070069,-103.44191816180312,2018-11-23,Wind Cave NP,POINT (-103.44191816180312 43.59423782070069)
NH,43.50072629535456,-72.36877778476047,2016-09-22,Saint-Gaudens NHS,POINT (-72.36877778476047 43.50072629535456)
NY,43.41938510225973,-73.71071675286218,2016-09-21,Champlain Valley NHA,POINT (-73.71071675286218 43.41938510225973)
NY,43.28823364780196,-75.4153150918137,2016-09-20,North Country NST,POINT (-75.4153150918137 43.28823364780196)
NY,43.21126520783368,-75.45548804019012,2016-09-20,Fort Stanwix NM,POINT (-75.45548804019012 43.21126520783368)
ID,43.17218731231748,-113.48208066696924,,Craters of the Moon NM&NPres,POINT (-113.48208066696924 43.17218731231748)
OH,43.08905487821399,-91.18558409180582,2018-10-08,Effigy Mounds NM,POINT (-91.18558409180582 43.08905487821399)
NY,43.01212847114369,-73.64880900276864,2016-09-21,Saratoga NHP,POINT (-73.64880900276864 43.01212847114369)
ID,42.97334262859125,-122.12633200529336,2019-07-02,Crater Lake NP,POINT (-122.12633200529336 42.97334262859125)
NY,42.92374113694391,-76.57603641240969,2016-09-19,Harriet Tubman NHP,POINT (-76.57603641240969 42.92374113694391)
NY,42.911264995301075,-76.80002459166454,2016-09-19,Womens Rights NHP,POINT (-76.80002459166454 42.911264995301075)
NY,42.9016643587231,-78.8725290368659,,Theodore Roosevelt Inaugural NHS,POINT (-78.8725290368659 42.9016643587231)
SD,42.86973768084819,-97.38494200942009,2018-10-09,Missouri NRR,POINT (-97.38494200942009 42.86973768084819)
NE,42.86890726765854,-100.5531533704933,2018-10-09,Niobrara NSR,POINT (-100.5531533704933 42.86890726765854)
ID,42.832149739675714,-114.89188908640446,,Hagerman Fossil Beds NM,POINT (-114.89188908640446 42.832149739675714)
NY,42.78460156469404,-73.68064105841837,2016-09-21,Erie Canalway NHC,POINT (-73.68064105841837 42.78460156469404)
ID,42.67925374268543,-114.24410466998224,,Minidoka NHS,POINT (-114.24410466998224 42.67925374268543)
MA,42.64479123660801,-71.31332584708167,2016-09-27,Lowell NHP,POINT (-71.31332584708167 42.64479123660801)
MA,42.52451256331842,-70.89424641668587,2016-09-26,Essex NHA,POINT (-70.89424641668587 42.52451256331842)
MA,42.52199042721769,-70.88697673901278,2016-09-29,Salem Maritime NHS,POINT (-70.88697673901278 42.52199042721769)
MA,42.468433320098704,-71.0083438605546,2016-09-26,Saugus Iron Works NHS,POINT (-71.0083438605546 42.468433320098704)
MA,42.454789792803126,-71.30123108674881,2016-09-27,Minute Man NHP,POINT (-71.30123108674881 42.454789792803126)
NE,42.4254659,-103.734226,2018-10-10,Agate Fossil Beds NM,POINT (-103.734226 42.4254659)
MA,42.3774953898866,-71.12632055662039,2015-06-11,Longfellow House NHS,POINT (-71.12632055662039 42.3774953898866)
MA,42.37340611627443,-71.05651151217522,2015-06-10,Boston NHP,POINT (-71.05651151217522 42.37340611627443)
NY,42.370142722085674,-73.70416130944446,2016-09-20,Martin Van Buren NHS,POINT (-73.70416130944446 42.370142722085674)
NY,42.36094758087968,-71.06507208918194,2015-06-08,Boston African American NHS,POINT (-71.06507208918194 42.36094758087968)
MA,42.34742696176482,-71.12330395369952,2015-06-10,John F Kennedy NHS,POINT (-71.12330395369952 42.34742696176482)
WY,42.33817781830123,-110.67403112130454,2015-05-25,California NHT,POINT (-110.67403112130454 42.33817781830123)
MA,42.325812121566464,-71.13223594553051,2015-06-10,Frederick Law Olmsted NHS,POINT (-71.13223594553051 42.325812121566464)
MA,42.31283086439302,-70.94930017483412,2015-06-13,Boston Harbor Islands NRA,POINT (-70.94930017483412 42.31283086439302)
MA,42.25654473,-71.01182318,2015-06-12,Adams NHP,POINT (-71.01182318 42.25654473)
WY,42.204269459447886,-104.55609236254432,2018-10-11,Fort Laramie NHS,POINT (-104.55609236254432 42.204269459447886)
MA,42.107681631969946,-72.58146839659979,2016-09-29,Springfield Armory NHS,POINT (-72.58146839659979 42.107681631969946)
OR,42.0988371981579,-123.40682911371032,2019-07-01,Oregon Caves NM,POINT (-123.40682911371032 42.0988371981579)
MA,42.095248975686815,-71.26956814381529,2015-10-10,Washington-Rochambeau Rev. Rt. NHT,POINT (-71.26956814381529 42.095248975686815)
ID,42.07306689679784,-113.70381986296807,,City of Rocks NPres,POINT (-113.70381986296807 42.07306689679784)
WY,42.06220628138199,-104.18410616352396,2018-10-11,Pony Express NHT,POINT (-104.18410616352396 42.06220628138199)
MI,41.916019951937415,-83.37988243092043,,River Raisin NBP,POINT (-83.37988243092043 41.916019951937415)
CA,41.88762026213523,-121.3771649610455,2019-07-03,Tule Lake NM,POINT (-121.3771649610455 41.88762026213523)
RI,41.87886558615023,-71.38317257880699,2016-09-28,Blackstone River Valley NHP,POINT (-71.38317257880699 41.87886558615023)
WY,41.85703888353293,-110.76242051518524,2015-05-25,Fossil Butte NM,POINT (-110.76242051518524 41.85703888353293)
