name,name,latitude,longitude,values,date
Abraham Lincoln Birthplace National Historical Park,Abraham Lincoln Birthplace NHP,37.53134309,-85.73752529,0.5,Aug 11 2016
Acadia National Park,Acadia NP,44.37087724,-68.26382357,0.5,Sep 24 2016
Adams National Historical Park,Adams NHP,42.25654473,-71.01182318,0.5,Jun 12 2015
African Burial Ground National Monument,African Burial Ground National Monument,,,,
Agate Fossil Beds National Monument,Agate Fossil Beds NM,42.4254659,-103.734226,0.5,October 10 2018
Alagnak Wild River,Alagnak Wild River,35.58252358,-101.6734214,0.5,Dec 22 2017
Alibates Flint Quarries National Monument,Alibates Flint Quarries NM,40.45953991,-78.54954502,0.5,Jun 19 2016
Allegheny Portage Railroad National Historic Site,Allegheny Portage Railroad NHS,29.4666941,-100.9883225,0.5,Dec 17 2017
Amache National Historic Site,Amache NHS,,,,
Amistad National Recreation Area,Amistad NRA,38.86840843,-76.99540568,0.5,Dec 29 2015
,Anacostia Park,32.2013999,-84.13046393,0.5,Jan 31 2016
Andersonville National Historic Site,Andersonville NHS,36.15574769,-82.83792454,0.5,Aug 9 2016
Andrew Johnson National Historic Site,Andrew Johnson NHS,36.21615018,-82.84462719,0.5,Aug 9 2016
Aniakchak National Monument,Aniakchak National Monument,,,,
Aniakchak National Preserve,Aniakchak National Preserve,,,,
Antietam National Battlefield,Antietam NB,38.92294554,-78.04904251,0.5,Mar 30 2016
Apostle Islands National Lakeshore,Apostle Islands NL,,,,
Appalachian National Scenic Trail,Appalachian NST,37.380599,-78.79886932,0.5,Aug 8 2015
Appomattox Court House National Historical Park,Appomattox Court House NHP,38.79844387,-109.5788526,0.5,May 26 2015
Arches National Park,Arches NP,34.0147059,-91.34391225,0.5,Nov 30 2017
Arkansas Post National Memorial,Arkansas Post NMem,38.88166349,-77.07251615,0.5,Dec 28 2015
"Arlington House, The Robert E. Lee Memorial",Arlingten House,38.8776773,-77.07080149,0.5,Dec 28 2015
Assateague Island National Seashore,Assateague Island NS,38.07636246,-75.23541574,0.5,Mar 25 2016
Aztec Ruins National Monument,Aztec Ruins National Monument,,,,
Badlands National Park,Badlands NP,43.8707094,-102.341097,0.5,Nov 20 2018
Bandelier National Monument,Bandelier NM,35.77932963,-106.2709601,0.5,Oct 12 2018
Belmont-Paul Women's Equality National Monument,Belmont-Paul Women's Equality NM,39.95869696,-75.17261507,0.5,Jul 16 2016
Bent's Old Fort National Historic Site,Bent's Old Fort NHS,,,,
,Benjamin Franklin NMem,29.25306357,-103.2497543,0.5,NAN
Bering Land Bridge National Preserve,Bering Land Bridge NPres,,,,
Big Bend National Park,Big Bend NP,30.45870359,-94.38712517,0.5,Dec 6 2017
Big Cypress National Preserve,Big Cypress NPres,25.51012364,-80.18404877,0.5,Dec 22 2019
