,name,latitude,longitude,values,date
0,Abraham Lincoln Birthplace NHP,37.53134309,-85.73752529,0.0,20160811
1,Acadia NP,44.37087724,-68.26382357,0.0,20160924
2,Adams NHP,42.25654473,-71.01182318,0.0,20150612
3,African Burial Ground NM,40.71513334051866,-74.0045030424539,0.0,0
4,Agate Fossil Beds NM,42.4254659,-103.734226,0.0,20181010
5,Alagnak Wild River,35.58252358,-101.6734214,0.0,20171222
6,Alibates Flint Quarries NM,40.45953991,-78.54954502,0.0,20160619
7,Allegheny Portage Railroad NHS,29.4666941,-100.9883225,0.0,20171217
8,Amache NHS,38.05658480471467,-102.32927880606826,0.0,0
9,Amistad NRA,38.86840843,-76.99540568,0.0,20151229
10,Anacostia Park,32.2013999,-84.13046393,0.0,20160131
11,Andersonville NHS,36.15574769,-82.83792454,0.0,20160809
12,Andrew Johnson NHS,36.21615018,-82.84462719,0.0,20160809
13,Aniakchak NM,56.87126348483644,-157.81497730439824,0.0,0
14,Antietam NB,38.92294554,-78.04904251,0.0,20160330
15,Apostle Islands NL,46.934026798394434,-90.6336231821812,0.0,0
16,Appalachian NST,37.380599,-78.79886932,0.0,20150808
17,Appomattox Court House NHP,38.79844387,-109.5788526,0.0,20150526
18,Arches NP,34.0147059,-91.34391225,0.0,20171130
19,Arkansas Post NMem,38.88166349,-77.07251615,0.0,20151228
20,Arlingten House,38.8776773,-77.07080149,0.0,20151228
21,Assateague Island NS,38.07636246,-75.23541574,0.0,20160325
22,Aztec Ruins NM,36.83592113383378,-107.99979574512749,0.0,0
23,Badlands NP,43.8707094,-102.341097,0.0,20181120
24,Bandelier NM,35.77932963,-106.2709601,0.0,20181012
25,Belmont-Paul Women's Equality NM,39.95869696,-75.17261507,0.0,20160716
26,Bent's Old Fort NHS,38.04093395999114,-103.42962284017536,0.0,0
27,Benjamin Franklin NMem,29.25306357,-103.2497543,0.0,0
28,Bering Land Bridge NPres,65.92605952779475,-164.4379373085557,0.0,0
29,Big Bend NP,30.45870359,-94.38712517,0.0,20171206
30,Big Cypress NPres,25.51012364,-80.18404877,0.0,20191222
31,Big Hole NB,45.64207525059023,-113.64334300273688,0.0,0
32,Big South Fork NRRA,41.87790948,-71.38307914,0.0,20160928
33,Big Thicket NPres,36.57084237,-80.90804411,0.0,20150802
34,Bighorn Canyon NRA,45.05400361760166,-108.2468116180786,0.0,0
35,Biscayne NP,37.11970695,-79.73176325,0.0,20150808
36,Black Canyon of the Gunnison NP,38.58810653002963,-107.74033938196094,0.0,0
37,Blackstone River Valley NHP,42.36012644,-71.06525179,0.0,20150608
38,Blackwell School NHS,30.306904973495165,-104.02257057016364,0.0,0
39,Blue Ridge Parkway,42.31208722,-70.94948467,0.0,20150613
40,Bluestone NSR,42.37705008,-71.06103426,0.0,20150610
41,Booker T Washington NM,34.50649966,-88.72886127,0.0,20171124
42,Boston African American NHS,35.98376143,-92.75502989,0.0,20171128
43,Boston Harbor Islands NRA,42.49701356,-111.3205405,0.0,20150525
44,Boston NHP,28.79878802,-80.76061168,0.0,20191222
45,Brices Gross Roads NBS,31.66431883,-93.00489867,0.0,20171205
46,Brown v. Board of Education NHP,39.03832497145038,-95.6765279060128,0.0,0
47,Bryce Canyon NP,37.599508668735886,-112.18924549328676,0.0,0
48,Buck Island Reef NM,17.786628479419395,-64.62188475568158,0.0,0
49,Buffalo NR,38.26026676,-109.887775,0.0,20150526
50,Cabrillo NM,32.67293733950517,-117.24175140979192,0.0,0
51,California NHT,41.72102558,-69.92732883,0.0,20160926
52,Camp Nelson NM,37.79752247563955,-84.60079625267547,0.0,0
53,Canaveral NS,35.24981376,-75.54298379,0.0,20151025
54,Cane River Creole NHP,34.62704665,-76.52542744,0.0,20150601
55,Canyon De Chelly NM,36.12014175510601,-109.3195505988222,0.0,0
56,Canyonlands NP,37.24597711,-76.7768192,0.0,20151010
57,Cape Cod NS,36.78383362,-103.970483,0.0,20181016
58,Cape Hatteras NS,35.27388546,-82.44542483,0.0,20150823
59,Cape Krusenstern NM,67.4183859376136,-163.50522929245065,0.0,0
60,Cape Lookout NS,32.173735,-104.5419975,0.0,20171221
61,Capitol Reef NP,38.13376410922067,-111.15776496672925,0.0,0
62,Captain John Smith Chesapeake NHT,38.91105078,-77.02408981,0.0,20151226
63,Capulin Volcano NM,29.89876916,-81.31147577,0.0,20190526
64,Carl Sandburg Home NHS,40.70357657,-74.01663312,0.0,20180722
65,Carlsbad Caverns NP,39.64154946,-77.44017184,0.0,20160328
66,Carter G. Woodson NHS,39.01128604,-78.30380926,0.0,20160330
67,Casa Grande Ruins NM,32.99766023512703,-111.532529607505,0.0,0
68,Castillo de San Marcos NM,43.42157317,-73.7133948,0.0,20160921
69,Castle Clinton NM,34.01834411,-119.7519188,0.0,20160508
70,Castle Mountains NM,35.3022484228907,-115.12676169366785,0.0,0
71,Catoctin Mountain Park,32.84667075,-79.82479533,0.0,20160501
72,Cedar Breaks NM,37.6368926629955,-112.8452291051868,0.0,0
73,Cedar Creek and Belle Grove NHP,39.70756369,-83.89032089,0.0,20181006
74,Cesar E. Chavez NM,35.224151503784924,-118.55829943529316,0.0,0
75,Chaco Culture NHP,36.0536404304614,-107.95587380525312,0.0,0
76,Chamizal NMem,31.767643255403783,-106.45448235159544,0.0,0
77,Champlain Valley NHA,33.98801138,-84.32396735,0.0,20151004
78,Channel Islands NP,34.93452034,-85.27981039,0.0,20151003
79,Charles Pinckney NHS,34.46155201,-97.00682073,0.0,20171223
80,Charles Young Buffalo Soldiers NM,37.22992505,-76.50172109,0.0,20160325
81,Chattahoochee River NRA,33.79910315,-80.74876466,0.0,0
82,Chesapeake and Ohio Canal NHP,39.50106733136284,-77.84514447869304,0.0,0
83,Chickamauga and Chattanooga NMP,38.89138336,-77.04449448,0.0,20151226
84,Chickasaw NRA,35.13763723,-81.81790086,0.0,20150718
85,Chiricahua NM,32.01290731717124,-109.34167667779104,0.0,0
86,Christiansted NHS,17.7474331310613,-64.7023289181468,0.0,0
87,City of Rocks NPres,42.07306689679784,-113.70381986296807,0.0,0
88,Clara Barton NHS,38.96763237522109,-77.1409490820061,0.0,0
89,Colonial NHP,42.95620583,-122.1217027,0.0,20190702
90,Colorado NM,39.05092961607754,-108.69219470896256,0.0,0
91,Congaree NP,40.22417516,-74.7692996,0.0,20160912
92,Constitution Gardens,36.62636799,-83.60854543,0.0,20160814
93,Coronado NMem,31.346335806047517,-110.25393041631224,0.0,0
94,Cowpens NB,30.84758882,-81.45460124,0.0,20190525
95,Crater Lake NP,41.28205325,-81.56786641,0.0,20160612
96,Craters of the Moon NM NPres,43.17218731231748,-113.48208066696924,0.0,0
97,Crossroads of the American Revolution NHA,41.47436146,-81.49188807,0.0,20170414
98,Cumberland Gap NHP,39.75593769,-84.21172806,0.0,20181005
99,Cumberland Island NS,27.52423804,-82.64325393,0.0,20191226
