submap,latitude,longitude,label_latitude,label_longitude,date,name
AK,68.136164,-159.907427,31.651230,-131.962971,,Noatak NPres
AK,67.776828,-153.346477,31.410475,-129.338591,,Gates of the Arctic NP&NPres
AK,67.507877,-159.226292,31.230278,-131.690517,,Kobuk Valley NP
AK,67.418385,-163.505229,31.170318,-133.402092,,Cape Krusenstern NM
AK,65.926059,-164.437937,30.170460,-133.775175,,Bering Land Bridge NPres
AK,64.971812,-143.290737,29.531114,-125.316295,,Yukon-Charley Rivers NPres
AK,63.375583,-150.798300,28.461641,-128.319320,,Denali NP
AK,61.282822,-142.893842,27.059491,-125.157537,,Wrangell-St Elias NP&NPres
AK,60.634254,-153.304175,26.624950,-129.321670,,Lake Clark NP&NPres
AK,59.929391,-150.162565,26.152692,-128.065026,,Kenai Fjords NP
AK,59.014565,-156.118260,25.539759,-130.447304,,Alagnak WR
AK,58.786102,-136.966883,25.386688,-122.786753,,Glacier Bay NP&NPres
AK,58.605381,-154.959963,25.265605,-129.983985,,Katmai NP NPres
AK,57.048453,-135.315939,24.222464,-122.126376,,Sitka NHP
AK,56.871310,-157.814579,24.103778,-131.125832,,Aniakchak NM
WA,48.785985,-121.065508,48.785985,-121.065508,20210711,Ross Lake NRA
WA,48.772889,-121.298236,48.772889,-121.298236,20210711,North Cascades NP
MT,48.767670,-113.790356,48.767670,-113.790356,,Glacier NP
WA,48.591907,-120.404816,48.591907,-120.404816,20210711,Pacific Crest NST
WA,48.587001,-123.150828,48.587001,-123.150828,,San Juan Island NHP
MI,48.497282,-92.8493650,48.497282,-92.8493650,,Voyageurs NP
WA,48.357325,-120.685413,48.357325,-120.685413,20210711,Lake Chelan NRA
WA,48.252041,-122.707406,48.252041,-122.707406,,Ebey's Landing NHR
WA,48.139903,-118.246768,48.139903,-118.246768,20210712,Lake Roosevelt NRA
MI,48.019982,-88.9253230,48.019982,-88.9253230,,Isle Royale NP
MT,47.999742,-104.040793,47.999742,-104.040793,,Fort Union Trading Post NHS
MN,47.962664,-89.6848830,47.962664,-89.6848830,,Grand Portage NM
WA,47.905358,-123.627509,47.905358,-123.627509,20210722,Olympic NP
WA,47.600093,-122.332026,47.600093,-122.332026,20210725,Klondike Gold Rush NHP
ND,47.331976,-101.385821,47.331976,-101.385821,,Knife River Indian Villages NHS
MI,47.242563,-88.4482090,47.242563,-88.4482090,,Keweenaw NHP
ND,47.003185,-103.542186,47.003185,-103.542186,,Theodore Roosevelt NP
WA,46.939864,-121.694117,46.939864,-121.694117,20210718,Mount Rainier NP
WI,46.934026,-90.6336230,46.934026,-90.6336230,,Apostle Islands NL
MI,46.568906,-86.3186320,46.568906,-86.3186320,,Pictured Rocks NL
ID,46.448003,-116.822449,46.448003,-116.822449,20210713,Nez Perce NHP
MT,46.406470,-112.736676,46.406470,-112.736676,,Grant-Kohrs Ranch NHS
OR,46.135126,-123.880365,46.135126,-123.880365,20210717,Lewis and Clark NHP
WA,46.041901,-118.464098,46.041901,-118.464098,20210714,Whitman Mission NHS
WI,46.028400,-92.0126360,46.028400,-92.0126360,,Saint Croix NSR
ME,45.957323,-68.7122870,45.957323,-68.7122870,20160923,Katahdin Woods and Waters NM
MT,45.642075,-113.643343,45.642075,-113.643343,,Big Hole NB
WA,45.627403,-122.656356,45.627403,-122.656356,20210717,Fort Vancouver NHS
MT,45.571043,-107.427299,45.571043,-107.427299,20181119,Little Bighorn Battlefield NM
MI,45.145859,-86.0133900,45.145859,-86.0133900,,Sleeping Bear Dunes NL
ME,45.128938,-67.1336690,45.128938,-67.1336690,,Saint Croix Island IHS
WY,45.054004,-108.246812,45.054004,-108.246812,,Bighorn Canyon NRA
MN,44.932490,-93.1127380,44.932490,-93.1127380,,Mississippi NRRA
OR,44.815226,-117.728514,44.815226,-117.728514,20210716,Oregon NHT
WY,44.689394,-110.580043,44.689394,-110.580043,20150522,Yellowstone NP
OR,44.635079,-120.239074,44.635079,-120.239074,20210715,John Day Fossil Beds NM
SD,44.591629,-104.714706,44.591629,-104.714706,20181120,Devils Tower NM
ME,44.370877,-68.2638240,44.370877,-68.2638240,20160924,Acadia NP
WI,44.278895,-89.2380020,44.278895,-89.2380020,,Ice Age NST
WY,44.083416,-110.681928,44.083416,-110.681928,20150524,John D RockeFeller Jr Memorial PKWY
MN,44.013643,-96.3251900,44.013643,-96.3251900,20181009,Pipestone NM
SD,43.963398,-102.354604,43.963398,-102.354604,20181120,Badlands NP
WY,43.886597,-110.733634,43.886597,-110.733634,20150524,Grand Teton NP
SD,43.880833,-103.453761,43.880833,-103.453761,20181122,Mount Rushmore NMem
SD,43.845108,-101.900855,43.845108,-101.900855,20181121,Minuteman Missle NHS
SD,43.731433,-103.829874,43.731433,-103.829874,20181123,Jewel Cave NM
VT,43.631884,-72.5178630,43.631884,-72.5178630,20160922,Marsh-Billings-RockeFeller NHP
SD,43.594238,-103.441918,43.594238,-103.441918,20181123,Wind Cave NP
