submap,latitude,longitude,date,name
Noatak NPres,AK,68.13616423611543,-159.90742667374997,0.0,0
Gates of the Arctic NP&NPres,AK,67.77682891323641,-153.3464765936084,0.0,0
Kobuk Valley NP,AK,67.50787793168357,-159.2262922854816,0.0,0
Cape Krusenstern NM,AK,67.4183859376136,-163.50522929245065,0.0,0
Bering Land Bridge NPres,AK,65.92605952779475,-164.4379373085557,0.0,0
Yukon-Charley Rivers NPres,AK,64.97181265699774,-143.29073746461393,0.0,0
Denali NP,AK,63.375583084865454,-150.79830005732927,0.0,0
Wrangell-St Elias NP&NPres,AK,61.28282201506475,-142.89384237349654,0.0,0
Lake Clark NP&NPres,AK,60.63425499319311,-153.30417522882277,0.0,0
Kenai Fjords NP,AK,59.92939159731911,-150.1625651423825,0.0,0
Alagnak WR,AK,59.01456500425202,-156.1182597702813,0.0,0
Glacier Bay NP&NPres,AK,58.78610208354336,-136.96688312340547,0.0,0
Katmai NP NPres,AK,58.60538199068286,-154.95996264582317,0.0,0
Sitka NHP,AK,57.0484537507505,-135.31593885480393,0.0,0
Aniakchak NM,AK,56.87131058339476,-157.81457868950744,0.0,0
Honouliuli NHS,HI,21.390279031707244,-158.05810964850176,0.0,0
Pearl Harbor NMem,HI,21.367947081906653,-157.9388892425156,0.0,0
Kalaupapa NHP,HI,21.193378009609937,-156.96663569830332,0.0,0
Haleakala NP,HI,20.728288535954057,-156.15643618107651,0.0,0
Pu'ukohola Heiau NHS,HI,20.02606480514125,-155.82188023655408,0.0,0
Kaloko-Honokohau NHP,HI,19.67825897519251,-156.02163653630075,0.0,0
Hawaii Volcanoes NP,HI,19.556020900995943,-155.4743123921899,0.0,0
Pu'uhonua O Honaunau NHP,HI,19.40935111557417,-155.90255421719624,0.0,0
San Juan NHS,PR,18.4750503734245,-66.12333840402411,0.0,0
Virgin Islands NP,VI,18.36742755467638,-64.75126556759922,0.0,0
Virgin Islands Coral Reef NM,VI,18.300555028845825,-64.69713339288002,0.0,0
Buck Island Reef NM,VI,17.786628479419395,-64.62188475568158,0.0,0
Salt River Bay NHP&EP,VI,17.7758811938846,-64.75606700895979,0.0,0
Christiansted NHS,VI,17.7474331310613,-64.7023289181468,0.0,0
War in the Pacific NHP,GU,13.426206246220213,144.69533281091287,0.0,0
Saratoga NHP,NY,3.01287159349387,-73.64891159496638,0.0,20160921
National Park of American Samoa NP,AS,-14.251819010320196,-170.68671837448667,0.0,0
